,gen,importancia
207,Glyma.08G080200,0.0006271905638027395
208,Glyma.06G077500,0.0006259237586790248
209,Glyma.08G243500,0.0006246552946219526
210,Glyma.16G109100,0.0006242398029280179
211,Glyma.15G176200,0.0006240693402296771
212,Glyma.05G033301,0.0006238445992738777
213,Glyma.03G028651,0.0006230191344664102
214,Glyma.15G119851,0.0006225327594243339
215,Glyma.12G021350,0.0006209912067876288
216,Glyma.16G183266,0.0006196727503944793
217,Glyma.14G167100,0.0006190693075345776
218,Glyma.18G228800,0.0006185707598649238
219,Glyma.03G073764,0.0006175999495913149
220,Glyma.16G050100,0.0006164078700024998
221,Glyma.05G181200,0.0006160305606246941
222,Glyma.01G213900,0.0006155730495351553
223,Glyma.19G157900,0.0006154875743958571
224,Glyma.15G050900,0.0006106651239573539
225,Glyma.16G184600,0.0006104471672562005
226,Glyma.02G264700,0.0006094849874406517
227,Glyma.02G188450,0.0006084514225499872
228,Glyma.20G044700,0.0006080900143841955
229,Glyma.02G227400,0.0006077527112727632
230,Glyma.13G328400,0.0006060007131453702
231,Glyma.10G281200,0.0006049010623442855
232,Glyma.06G267250,0.0006037621955124515
233,Glyma.02G265500,0.0006033744508685145
234,Glyma.11G207201,0.00060095303536056
235,Glyma.04G210301,0.0005979500986960316
236,Glyma.17G172100,0.0005977327675206283
237,Glyma.14G137900,0.0005971233265366471
238,Glyma.15G040800,0.0005956131378409644
239,Glyma.09G142200,0.000594102055867356
240,Glyma.12G213900,0.0005937817757258606
241,Glyma.03G232300,0.0005935159018550287
242,Glyma.06G226300,0.0005912769062791489
243,Glyma.11G173237,0.000591147949482483
244,Glyma.06G154166,0.0005906031547054196
245,Glyma.12G158950,0.0005884231095438647
246,Glyma.06G278000,0.0005880610209320292
247,Glyma.04G213600,0.000587615573650691
248,Glyma.19G048300,0.0005844217818022198
249,Glyma.15G128901,0.000579210301164069
250,Glyma.05G109432,0.000578793704730868
251,Glyma.14G153450,0.0005768457457611939
252,Glyma.15G204733,0.000576814496203155
253,Glyma.10G035500,0.0005758280377124876
254,Glyma.10G110200,0.0005738827354573518
255,Glyma.02G116750,0.000573877050030464
256,Glyma.06G020201,0.0005718487266018898
257,Glyma.11G074000,0.0005708634577806595
258,Glyma.03G024500,0.0005681624609371435
259,Glyma.19G082700,0.0005676303717290035
260,Glyma.11G194400,0.0005661095006794695
261,Glyma.12G233567,0.0005651945418556538
262,Glyma.17G127025,0.0005637972709772615
263,Glyma.08G206200,0.000560000408074358
264,Glyma.06G248800,0.0005584275754991513
265,Glyma.18G301950,0.0005561102699390496
266,Glyma.09G286400,0.0005559632655527286
267,Glyma.18G152200,0.0005548022368142422
268,Glyma.06G276150,0.0005541583102517288
269,Glyma.10G150250,0.0005529114529427961
270,Glyma.09G279350,0.0005524386882868425
271,Glyma.09G278300,0.0005522394781164832
272,Glyma.15G083450,0.000549785307447269
273,Glyma.12G210700,0.0005496387996222697
274,Glyma.02G307600,0.0005485227374669951
275,Glyma.04G103700,0.0005475608822460064
276,Glyma.04G052400,0.0005475260926430097
277,Glyma.12G090650,0.0005436690449734858
278,Glyma.03G084400,0.0005422205335375363
279,Glyma.18G137402,0.0005416030002005104
280,Glyma.06G109100,0.0005390325118396105
281,Glyma.19G199051,0.0005376066503692948
282,Glyma.08G086950,0.0005365248886708264
283,Glyma.12G217600,0.0005360233333722254
284,Glyma.12G093566,0.0005352576546862855
285,Glyma.01G058900,0.0005314130335978929
286,Glyma.04G129601,0.0005298116716114914
287,Glyma.10G086100,0.0005297547264175053
288,Glyma.13G153900,0.000529083713272785
289,Glyma.10G193900,0.000526046618348627
290,Glyma.08G162400,0.0005259032011769963
291,Glyma.03G121700,0.0005230512272890896
292,Glyma.16G192900,0.0005227578368166895
293,Glyma.18G284851,0.000522552105843361
294,Glyma.18G290500,0.0005224910161019489
295,Glyma.15G135000,0.0005209964553578378
296,Glyma.19G194750,0.000520243957492341
297,Glyma.15G249250,0.0005194858533268887
298,Glyma.08G063000,0.0005152737939955896
299,Glyma.01G080300,0.0005148110207597552
300,Glyma.09G048400,0.0005131451117800831
301,Glyma.16G190101,0.0005129778540742208
302,Glyma.09G281250,0.0005128993358543936
303,Glyma.12G045951,0.0005118709652117715
304,Glyma.08G068500,0.0005108802140441678
305,Glyma.19G216151,0.0005101212829999312
306,Glyma.14G203200,0.0005079772855564252
307,Glyma.02G225700,0.0005069253349601572
308,Glyma.02G181650,0.0005052045647505669
309,Glyma.01G108132,0.0005032466929239305
310,Glyma.17G176800,0.0005032132843241549
311,Glyma.07G015666,0.0005026583908568405
312,Glyma.19G066500,0.0005023850864693123
313,Glyma.08G003700,0.0005020051088678927
314,Glyma.09G080850,0.0005016987013912301
315,Glyma.17G019700,0.0005015467191204573
316,Glyma.05G246400,0.0005005214929478054
317,Glyma.02G066651,0.0005004015447400048
318,Glyma.17G180350,0.0005001093912110266
319,Glyma.16G185400,0.0004998669834799367
320,Glyma.06G231400,0.0004990359491612773
321,Glyma.14G080701,0.0004984578839377395
322,Glyma.09G121100,0.0004971525653008779
323,Glyma.12G119100,0.0004968425993482244
324,Glyma.20G037000,0.000495239242511748
325,Glyma.18G149200,0.000494732068606944
326,Glyma.03G230850,0.0004939013950151914
327,Glyma.16G184332,0.0004926523325104663
328,Glyma.14G212300,0.0004915704713784675
329,Glyma.11G165500,0.0004912758231248142
330,Glyma.11G054700,0.000491206636611984
331,Glyma.18G296800,0.0004895253881036251
332,Glyma.03G015300,0.00048784750497266396
333,Glyma.04G017100,0.00048778876618096656
334,Glyma.04G229850,0.0004867412439628687
335,Glyma.04G244200,0.0004860812548635575
336,Glyma.01G154750,0.00048597610024088964
337,Glyma.12G023766,0.00048435254266469266
338,Glyma.05G182800,0.00048356910812279885
339,Glyma.10G224451,0.00048142617744231645
340,Glyma.18G180700,0.0004801397944793068
341,Glyma.04G144751,0.0004799697788401408
342,Glyma.19G124000,0.0004762215285366979
343,Glyma.13G199400,0.0004759787613702044
344,Glyma.11G238900,0.00047540223030105393
345,Glyma.04G156100,0.0004746778976038162
346,Glyma.11G044900,0.0004727153332168163
347,Glyma.06G280200,0.00047191070370145277
348,Glyma.07G003000,0.0004708220514471068
349,Glyma.20G087150,0.0004695152979928274
350,Glyma.12G078932,0.0004685292904961203
351,Glyma.19G142900,0.0004658657641755152
352,Glyma.03G061852,0.00046563097883975304
353,Glyma.17G016450,0.00046534074842033803
354,Glyma.03G000233,0.0004629558288341137
355,Glyma.19G194432,0.00046275430777023536
356,Glyma.07G170100,0.0004622470814265412
357,Glyma.11G067900,0.00046104492374194207
358,Glyma.14G108600,0.00046027991807184854
359,Glyma.06G022600,0.0004584563536625241
360,Glyma.15G141550,0.0004584551830702836
361,Glyma.13G365900,0.000458243012743949
362,Glyma.01G067400,0.0004568984112885618
363,Glyma.09G283800,0.0004528857235329767
364,Glyma.08G275750,0.00045240535786459854
365,Glyma.20G165500,0.00045203726357310293
366,Glyma.16G157850,0.00045023674551509504
367,Glyma.13G356800,0.0004497225429827099
368,Glyma.04G084050,0.00044909846417097844
369,Glyma.06G174100,0.00044900382829453833
370,Glyma.19G198550,0.00044468632086406705
371,Glyma.01G180300,0.000444348897546594
372,Glyma.02G043100,0.00044427898040688474
373,Glyma.20G027350,0.0004403353743275893
374,Glyma.06G179001,0.00043804822671444373
375,Glyma.02G196600,0.0004380391399873657
376,Glyma.06G080700,0.0004375215011850128
377,Glyma.14G172700,0.0004365849313892996
378,Glyma.03G185600,0.0004356075110190209
379,Glyma.10G087700,0.00043533194210558176
380,Glyma.02G141301,0.0004335508537433108
381,Glyma.07G211200,0.00043224229243370903
382,Glyma.12G161900,0.0004311549749817336
383,Glyma.17G083600,0.00042941487360706785
384,Glyma.01G032700,0.0004281495542063961
385,Glyma.05G057700,0.0004277952643837177
386,Glyma.19G137100,0.0004272842609840365
387,Glyma.05G144602,0.0004268993415819957
388,Glyma.17G155350,0.0004267646104820131
389,Glyma.06G319250,0.00042674199881512795
390,Glyma.20G206000,0.00042611759790235686
391,Glyma.12G012332,0.0004255135054484373
392,Glyma.09G168100,0.00042488652402724236
393,Glyma.18G278500,0.0004247329273446771
394,Glyma.09G238700,0.00042388491161108894
395,Glyma.14G156750,0.00042307709654593396
396,Glyma.19G044600,0.00042302917176339637
397,Glyma.05G060000,0.00042129002383610063
398,Glyma.18G124850,0.00041906439852701225
399,Glyma.19G034600,0.00041795204334301025
400,Glyma.05G149600,0.0004168258066745411
401,Glyma.04G124250,0.0004153484082724789
402,Glyma.17G056550,0.0004146022646788592
403,Glyma.14G091400,0.00041272393263632444
404,Glyma.14G140151,0.00041127742047456086
405,Glyma.05G103850,0.000410297393788619
406,Glyma.08G057400,0.0004095297369417664
407,Glyma.13G327600,0.000409338111706832
408,Glyma.11G224900,0.00040917958970730395
409,Glyma.12G170800,0.0004085659981807533
410,Glyma.17G148300,0.000407820184025622
411,Glyma.12G218800,0.0004066192109714643
412,Glyma.15G187901,0.0004051153167217293
413,Glyma.13G168500,0.0004045743108359597
414,Glyma.03G259450,0.0004038354903078881
415,Glyma.11G084800,0.00040176345990141336
416,Glyma.07G231300,0.00040175862476650036
417,Glyma.06G268300,0.0004010728240014246
418,Glyma.15G063900,0.0003994316067088421
419,Glyma.05G077000,0.0003980715410977105
420,Glyma.05G111600,0.00039788377314718215
421,Glyma.05G079302,0.0003976164500324696
422,Glyma.01G188832,0.00039606760978295606
423,Glyma.11G037300,0.0003935430834593854
424,Glyma.19G120500,0.0003924752619078741
425,Glyma.13G338900,0.00039168999748900624
