,0
740,SAMN09716332
741,SAMN09716333
742,SAMN09716334
743,SAMN09716335
744,SAMN09716336
745,SAMN09716337
746,SAMN09716338
747,SAMN09716339
748,SAMN09716340
749,SAMN09716342
750,SAMN09716344
751,SAMN09716346
752,SAMN09716347
753,SAMN09716348
754,SAMN09716349
755,SAMN09716350
756,SAMN09716351
757,SAMN09716352
758,SAMN09716353
759,SAMN09716354
760,SAMN09716355
761,SAMN09716356
762,SAMN09716357
763,SAMN09716358
764,SAMN09716360
765,SAMN09716363
766,SAMN09716364
767,SAMN09716365
768,SAMN09716366
769,SAMN09716368
770,SAMN09716369
771,SAMN09716371
772,SAMN09716372
773,SAMN09716373
774,SAMN09716375
775,SAMN09716376
776,SAMN09716377
777,SAMN09716378
778,SAMN09716379
779,SAMN09716380
780,SAMN09716381
781,SAMN09716382
782,SAMN09716383
783,SAMN09716384
784,SAMN09716385
785,SAMN09716386
786,SAMN09716387
787,SAMN09716388
788,SAMN09716390
789,SAMN09716391
790,SAMN09716392
791,SAMN09716393
792,SAMN09716395
793,SAMN09716396
794,SAMN09716397
795,SAMN09716398
796,SAMN09716399
797,SAMN09716401
798,SAMN09716402
799,SAMN09716403
800,SAMN09716404
801,SAMN09716405
802,SAMN09716406
803,SAMN09716407
804,SAMN09716408
805,SAMN09716409
806,SAMN09716410
807,SAMN09716411
808,SAMN09716414
809,SAMN09716416
810,SAMN09716418
811,SAMN09716419
812,SAMN09716420
813,SAMN09716421
814,SAMN09716422
815,SAMN09716423
816,SAMN09716424
817,SAMN09716425
818,SAMN09716428
819,SAMN09716429
820,SAMN09716430
821,SAMN09716432
822,SAMN09716434
823,SAMN09716435
824,SAMN09716436
825,SAMN09716437
826,SAMN09716439
827,SAMN09716440
828,SAMN09716441
829,SAMN09716442
830,SAMN09716443
831,SAMN09716444
832,SAMN09716445
833,SAMN09716453
834,SAMN09716455
835,SAMN09716456
836,SAMN09716458
837,SAMN09716462
838,SAMN09716463
839,SAMN09716464
840,SAMN09716465
841,SAMN09716466
842,SAMN09716467
843,SAMN09716469
844,SAMN09716470
845,SAMN09716479
846,SAMN09716481
847,SAMN09716482
848,SAMN09716484
849,SAMN09716485
850,SAMN09716487
851,SAMN09716488
852,SAMN09716491
853,SAMN09716492
854,SAMN09716493
855,SAMN09716495
856,SAMN09716496
857,SAMN09716497
858,SAMN09716498
859,SAMN09716499
860,SAMN09716500
861,SAMN09716501
862,SAMN09716502
863,SAMN09716503
864,SAMN09716504
865,SAMN09716505
866,SAMN09716506
867,SAMN09716507
868,SAMN09716508
869,SAMN09716510
870,SAMN09716511
871,SAMN09716512
872,SAMN09716513
873,SAMN09716514
874,SAMN09716515
875,SAMN09716517
876,SAMN09716518
877,SAMN09716519
878,SAMN09716520
879,SAMN09716521
880,SAMN09716522
881,SAMN09716523
882,SAMN09716525
883,SAMN09716527
884,SAMN09716528
885,SAMN09716529
886,SAMN09716530
887,SAMN09716532
888,SAMN09716533
889,SAMN09716534
890,SAMN09716535
891,SAMN09716536
892,SAMN09716540
893,SAMN09716542
894,SAMN09716543
895,SAMN09716545
896,SAMN09716546
897,SAMN09716547
898,SAMN09716548
899,SAMN09716549
900,SAMN09716550
901,SAMN09716551
902,SAMN09716553
903,SAMN09716554
904,SAMN09716555
905,SAMN09716557
906,SAMN09716558
907,SAMN09716559
908,SAMN09716561
909,SAMN09716562
910,SAMN09716563
911,SAMN09716564
912,SAMN09716565
913,SAMN09716566
914,SAMN09716568
915,SAMN09716569
916,SAMN09716570
917,SAMN09716571
918,SAMN09716572
919,SAMN09716573
920,SAMN09716575
921,SAMN09716576
922,SAMN09716577
923,SAMN09716578
924,SAMN09716579
925,SAMN09716581
926,SAMN09716582
927,SAMN09716583
928,SAMN09716584
929,SAMN09716586
930,SAMN09716588
931,SAMN09716589
932,SAMN09716590
933,SAMN09716591
934,SAMN10103091
935,SAMN10103092
936,SAMN11845755
937,SAMN11845756
938,SAMN11845757
939,SAMN12040108
940,SAMN12040109
941,SAMN12040114
942,SAMN12040115
943,SAMN12040120
944,SAMN12040121
945,SAMN12792924
946,SAMN12792925
947,SAMN12792926
948,SAMN12792927
949,SAMN12792928
950,SAMN12792929
951,SAMN14614946
952,SAMN14614947
953,SAMN14614948
954,SAMN14614952
955,SAMN14614953
956,SAMN14614954
957,SAMN14614955
958,SAMN14614956
959,SAMN14614957
960,SAMN15041792
961,SAMN15041793
962,SAMN15041794
963,SAMN15647386
964,SAMN15647388
965,SAMN16294988
966,SAMN16294989
967,SAMN16294990
968,SAMN16295003
969,SAMN16295004
970,SAMN16295005
971,SAMN17205598
972,SAMN17205599
973,SAMN17205600
974,SAMN17205601
975,SAMN17205603
976,SAMN17205607
977,SAMN17205608
978,SAMN17205609
979,SAMN17205610
980,SAMN17205611
981,SAMN17205612
982,SAMN17311458
983,SAMN17311459
984,SAMN18541692
985,SAMN18877647
986,SAMN18877648
987,SAMN18877653
988,SAMN18877654
989,SAMN18877659
990,SAMN18877660
991,SAMN18877665
992,SAMN18877666
993,SAMN19882149
994,SAMN19882150
995,SAMN19882151
996,SAMN19882152
997,SAMN19882153
998,SAMN19882154
999,SAMN20841302
1000,SAMN20841303
1001,SAMN23019674
1002,SAMN23019676
1003,SAMN23019677
1004,SAMN23019679
1005,SAMN23254487
1006,SAMN23254488
1007,SAMN23254489
1008,SAMN23254493
1009,SAMN23254494
1010,SAMN23254495
1011,SAMN27487600
1012,SAMN27488514
1013,SAMN27489211
1014,SAMN27511670
1015,SAMN27511673
1016,SAMN27511676
1017,SAMN27511821
1018,SAMN27511870
1019,SAMN27511871
1020,SAMN16427375
1021,SAMN16427379
1022,SAMN16427383
1023,SAMN16427387
1024,SAMN16427391
1025,SAMN16427395
1026,SAMN16427399
1027,SAMN02597091
1028,SAMN02597093
1029,SAMN02597095
1030,SAMN02597097
