Control/Treated,BioSample
,SAMN00199012
,SAMN00199012
,SAMN02798159
,SAMN02798152
,SAMN02798160
,SAMN02798167
,SAMN02798169
,SAMN02798171
,SAMN02798178
,SAMN02798173
,SAMN02798180
,SAMN02797607
,SAMN02797606
,SAMN02797613
,SAMN02797612
,SAMN02797612
,SAMN02797618
,SAMN02797618
,SAMN02797621
,SAMN02795960
,SAMN02795960
,SAMN02795965
,SAMN02795965
,SAMN02795958
,SAMN02796834
,SAMN02796833
,SAMN02796837
,SAMN02796839
,SAMN02796839
,SAMN02796846
,SAMN02796842
,SAMN02796845
,SAMN07540324
,SAMN07540325
,SAMN07520854
,SAMN07521021
,SAMN07521022
,SAMN07521020
,SAMN07521019
,SAMN07521018
,SAMN05580203
,SAMN05580202
,SAMN05580201
con,SAMN05580208
,SAMN05580207
,SAMN05580206
con,SAMN05580230
con,SAMN05580224
,SAMN05580223
con,SAMN05580219
,SAMN05580215
,SAMN00264986
,SAMN00264986
,SAMN00264987
,SAMN00264987
,SAMN00264987
,SAMN00264988
,SAMN00264988
,SAMN00264989
,SAMN00264989
,SAMN00265076
,SAMN00265076
,SAMN00265076
,SAMN00265076
,SAMN00265077
,SAMN00265077
,SAMN00265077
,SAMN00265078
,SAMN00265078
,SAMN00265078
con,SAMN00265079
con,SAMN00265079
con,SAMN00265079
con,SAMN00265080
con,SAMN00265080
con,SAMN00265081
con,SAMN00265081
con,SAMN00265082
con,SAMN00265082
con,SAMN00265082
,SAMN00265083
,SAMN00265083
,SAMN00265084
,SAMN00265085
,SAMN00265086
,SAMN00265087
,SAMN00265087
,SAMN00265088
,SAMN00265088
,SAMN00189460
,SAMN05970480
,SAMN05970464
,SAMN05970534
,SAMN05970539
,SAMN05970465
,SAMN05970071
,SAMN05970540
,SAMN05970251
,SAMN05969984
con,SAMN05915162
con,SAMN05915169
stress,SAMN05915165
stress,SAMN05915166
stress,SAMN05915160
con,SAMN05915170
stress,SAMN05915159
con,SAMN05915164
stress,SAMN05915167
con,SAMN05915163
stress,SAMN05915161
con,SAMN05915168
con,SAMN05938305
con,SAMN05938306
con,SAMN05938303
con,SAMN05938304
stress,SAMN05938301
stress,SAMN05938302
stress,SAMN05938299
stress,SAMN05938300
con,SAMN01832599
con,SAMN01832600
con,SAMN01832601
con,SAMN01832602
con,SAMN01832603
con,SAMN01832604
con,SAMN01832605
con,SAMN01832606
con,SAMN01832607
con,SAMN01832608
con,SAMN01832609
con,SAMN01832610
con,SAMN01832611
con,SAMN01832612
con,SAMN01832613
con,SAMN01832614
stress,SAMN01985837
stress,SAMN01985837
stress,SAMN37542005
stress,SAMN37542004
stress,SAMN37543032
stress,SAMN37543031
stress,SAMN37543030
,SAMN37387610
,SAMN37387609
,SAMN37387608
,SAMN37387607
,SAMN37387606
,SAMN37387605
,SAMN37387604
,SAMN37387630
,SAMN37387629
,SAMN37387628
,SAMN37387627
,SAMN37387626
,SAMN37387625
