biosample,estres,tejido
SAMN03389590,,cotyledon
SAMN03389591,control,cotyledon
SAMN03389593,,seed
SAMN03389594,,seed
SAMN03389595,,cotyledon
SAMN03389597,,cotyledon
SAMN03389599,,seed
SAMN03389600,,seed
SAMN03389601,,cotyledon
SAMN03389603,,cotyledon
SAMN03389605,control,seed
SAMN03389606,control,seed
SAMN03389607,control,seed
SAMN03389609,control,cotyledon
SAMN03389610,control,cotyledon
SAMN03389611,control,cotyledon
SAMN03389612,control,seed
SAMN03389613,control,cotyledon
SAMN03406693,control,seed
SAMN03406694,control,seed
SAMN03406695,control,seed
SAMN03406696,control,seed
SAMN03406697,control,seed
SAMN03406698,,seed
SAMN03406699,,seed
SAMN03406700,,seed
SAMN03406701,,seed
SAMN03406702,control,seed
SAMN03406703,,seed
SAMN03406704,,seed
SAMN03406705,,seed
SAMN03406706,,seed
SAMN03406707,,seed
SAMN03406708,,seed
SAMN03406709,,seed
SAMN03406710,,seed
SAMN03473671,infest,leaf
SAMN03473672,,leaf
SAMN03473673,infest,leaf
SAMN03473674,infest,leaf
SAMN03473675,infest,leaf
SAMN03473676,infest,leaf
SAMN03473677,,leaf
SAMN03473678,infest,leaf
SAMN03473679,infest,leaf
SAMN03473680,infest,leaf
SAMN03473681,infest,leaf
SAMN03473682,,leaf
SAMN03473683,infest,leaf
SAMN03473684,infest,leaf
SAMN03473685,infest,leaf
SAMN03473686,infest,leaf
SAMN03473687,,leaf
SAMN03473688,infest,leaf
SAMN03473689,infest,leaf
SAMN03473690,infest,leaf
SAMN03731185,,leaf
SAMN03731186,,leaf
SAMN03755595,deficit,leave
SAMN03755596,deficit,leave
SAMN03755597,deficit,leave
SAMN03755598,control,leave
SAMN03755599,control,leave
SAMN03755600,control,leave
SAMN03755601,deficit,leave
SAMN03755602,deficit,leave
SAMN03755603,deficit,leave
SAMN03755604,control,leave
SAMN03755605,control,leave
SAMN03755606,control,leave
SAMN03755607,deficit,leave
SAMN03755608,deficit,leave
SAMN03755609,deficit,leave
SAMN03755610,control,leave
SAMN03755611,control,leave
SAMN03755612,control,leave
SAMN03755613,deficit,leave
SAMN03755614,deficit,leave
SAMN03755615,deficit,leave
SAMN03755616,control,leave
SAMN03755617,control,leave
SAMN03755618,control,leave
SAMN03755619,deficit,leave
SAMN03755620,deficit,leave
SAMN03755621,deficit,leave
SAMN03755622,control,leave
SAMN03755623,control,leave
SAMN03755624,control,leave
SAMN03755625,deficit,leave
SAMN03755626,deficit,leave
SAMN03755627,deficit,leave
SAMN03755628,control,leave
SAMN03755629,control,leave
SAMN03755630,control,leave
SAMN03761646,control,leave
SAMN03761647,control,leave
SAMN03761648,control,leave
SAMN03761649,control,leave
SAMN03761650,stress,leave
SAMN03761651,stress,leave
SAMN03761652,stress,leave
SAMN03761653,stress,leave
